Product ID,Product Name,Predicted_Profit,Pred_High_Seller
OFF-ST-10003816,Fellowes High-Stak Drawer Files,19.914299,1
OFF-BI-10001510,Deluxe Heavy-Duty Vinyl Round Ring Binder,12.07081,0
FUR-FU-10001085,3M Polarizing Light Filter Sleeves,13.402475,0
FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",-39.235676,1
FUR-TA-10001520,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",0.24179739,1
OFF-AR-10003373,"Boston School Pro Electric Pencil Sharpener, 1670",13.0486,0
TEC-PH-10004539,Wireless Extenders zBoost YX545 SOHO Signal Booster,-53.3471,1
OFF-BI-10002072,Cardinal Slant-D Ring Binders,7.3168774,0
OFF-BI-10001670,Vinyl Sectional Post Binders,-25.330153,0
OFF-AR-10003478,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",24.604889,0
OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,-15.206913,0
FUR-FU-10004270,"Executive Impressions 13"" Clairmont Wall Clock",29.27253,0
OFF-ST-10000617,Woodgrain Magazine Files by Perma,7.9464817,0
TEC-AC-10002637,Logitech VX Revolution Cordless Laser Mouse for Notebooks (Black),-64.18194,1
TEC-PH-10003012,Nortel Meridian M3904 Professional Digital phone,91.54463,1
OFF-AP-10004708,Fellowes Superior 10 Outlet Split Surge Protector,8.949449,0
OFF-PA-10003039,Xerox 1960,28.35756,0
OFF-AR-10001315,Newell 310,3.2571523,0
OFF-BI-10004656,Peel & Stick Add-On Corner Pockets,-6.036644,0
OFF-BI-10004209,"Fellowes Twister Kit, Gray/Clear, 3/pkg",-19.28688,0
FUR-CH-10003312,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,-72.47316,1
FUR-FU-10003096,"Master Giant Foot Doorstop, Safety Yellow",4.0669403,0
OFF-LA-10003510,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",38.157642,0
FUR-FU-10003247,36X48 HARDFLOOR CHAIRMAT,13.2203,0
FUR-FU-10003878,"Linden 10"" Round Wall Clock, Black",10.084196,0
TEC-PH-10002844,Speck Products Candyshell Flip Case,-0.7351895,0
OFF-PA-10004285,Xerox 1959,28.893644,0
OFF-PA-10004733,Things To Do Today Spiral Book,8.0238495,0
OFF-PA-10004082,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",7.566085,0
TEC-AC-10003610,Logitech Illuminated - Keyboard,66.16723,0
FUR-FU-10003806,"Tenex Chairmat w/ Average Lip, 45"" x 53""",225.85732,1
OFF-BI-10001658,GBC Standard Therm-A-Bind Covers,-37.652058,0
TEC-PH-10001819,Innergie mMini Combo Duo USB Travel Charging Kit,26.508661,0
FUR-FU-10002506,"Tensor ""Hersey Kiss"" Styled Floor Lamp",4.618988,0
OFF-FA-10004076,Translucent Push Pins by OIC,2.6378171,0
OFF-AR-10004999,Newell 315,3.8021464,0
TEC-PH-10004977,GE 30524EE4,120.07383,1
FUR-CH-10001146,"Global Task Chair, Black",9.380687,1
FUR-CH-10002880,"Global High-Back Leather Tilter, Burgundy",-19.685543,1
OFF-PA-10001685,Staples,23.40037,0
OFF-AR-10001915,Peel-Off China Markers,2.3229554,0
OFF-AP-10002287,"Eureka Sanitaire  Multi-Pro Heavy-Duty Upright, Disposable Bags",1.073529,0
OFF-ST-10000760,Eldon Fold 'N Roll Cart System,-0.40033802,0
TEC-AC-10003911,NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router,170.53178,1
OFF-AP-10003860,Fellowes Advanced 8 Outlet Surge Suppressor with Phone/Fax Protection,13.2445135,0
OFF-FA-10003059,Assorted Color Push Pins,1.3245378,0
OFF-LA-10001158,"Avery Address/Shipping Labels for Typewriters, 4"" x 2""",9.413359,0
OFF-PA-10000327,Xerox 1971,4.867572,0
TEC-PH-10002555,Nortel Meridian M5316 Digital phone,348.7474,1
OFF-AR-10000940,Newell 343,3.3311532,0
TEC-PH-10002885,Apple iPhone 5,50.13102,1
OFF-BI-10002309,Avery Heavy-Duty EZD  Binder With Locking Rings,10.843498,0
TEC-PH-10004614,AT&T 841000 Phone,35.57979,0
FUR-FU-10004306,Electrix Halogen Magnifier Lamp,162.93825,1
OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",9.532803,0
OFF-SU-10004782,"Elite 5"" Scissors",-2.995771,0
TEC-AC-10003095,Logitech G35 7.1-Channel Surround Sound Headset,98.39263,1
OFF-PA-10000167,Xerox 1925,27.8485,0
OFF-AP-10000179,Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 Room,105.90845,0
OFF-PA-10002615,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",2.947136,0
OFF-PA-10003893,Xerox 1962,7.7264166,0
OFF-PA-10000791,"Wirebound Message Books, Four 2 3/4 x 5 Forms per Page, 200 Sets per Book",12.540563,0
OFF-BI-10000962,"Acco Flexible ACCOHIDE Square Ring Data Binder, Dark Blue, 11 1/2"" X 14"" 7/8""",9.819948,0
OFF-PA-10002986,Xerox 1898,11.889974,0
